% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Time (s), Ch 1 (V)
2.001773186000e+00, 7.9380611920e-04
2.001968500000e+00, 0.0000000000e+00
2.002163814000e+00, -2.6460203973e-04
2.002359128000e+00, 5.2920407947e-04
2.002554442000e+00, 2.6460203973e-04
2.002749756000e+00, 5.2920407947e-04
2.002945070000e+00, 2.6460203973e-04
2.003140384000e+00, 0.0000000000e+00
2.003335698000e+00, -7.9380611920e-04
2.003531012000e+00, 0.0000000000e+00
2.003726326000e+00, 2.6460203973e-04
2.003921640000e+00, 7.9380611920e-04
2.004116954000e+00, 2.6460203973e-04
2.004312268000e+00, 0.0000000000e+00
2.004507582000e+00, 2.6460203973e-04
2.004702896000e+00, 0.0000000000e+00
2.004898210000e+00, 5.2920407947e-04
2.005093524000e+00, -5.2920407947e-04
2.005288838000e+00, 2.6460203973e-04
2.005484152000e+00, 5.2920407947e-04
2.005679466000e+00, 2.6460203973e-04
2.005874780000e+00, 0.0000000000e+00
2.006070094000e+00, 2.6460203973e-04
2.006265408000e+00, 2.6460203973e-04
2.006460722000e+00, 0.0000000000e+00
2.006656036000e+00, 5.2920407947e-04
2.006851350000e+00, 5.2920407947e-04
2.007046664000e+00, -1.0584081589e-03
2.007241978000e+00, 2.6460203973e-04
2.007437292000e+00, 5.2920407947e-04
2.007632606000e+00, 2.6460203973e-04
2.007827920000e+00, 7.9380611920e-04
2.008023234000e+00, 7.9380611920e-04
2.008218548000e+00, 1.0584081589e-03
2.008413862000e+00, 1.0584081589e-03
2.008609176000e+00, 1.3230101987e-03
2.008804490000e+00, 5.2920407947e-04
2.008999804000e+00, 1.0584081589e-03
2.009195118000e+00, 7.9380611920e-04
2.009390432000e+00, 7.9380611920e-04
2.009585746000e+00, 1.0584081589e-03
2.009781060000e+00, 1.3230101987e-03
2.009976374000e+00, 1.5876122384e-03
2.010171688000e+00, 1.5876122384e-03
2.010367002000e+00, 1.3230101987e-03
